ExtraTreesRegressor,CatBoostRegressor,XGBRegressor,RandomForestRegressor,CatBoostRegressor_opt,GradientBoostingRegressor,SVR,MLPRegressor,KNeighborsRegressor,Ridge,ElasticNetCV,LinearRegression,AdaBoostRegressor,DummyRegressor
0.0,0.006409810160655088,0.013445735875895579,0.01391949930374664,0.01919401045822125,0.019473495169661917,0.038924763860946496,0.041805887467396385,0.06079656940187167,0.11675864599138028,0.12087994015871159,0.1343607827039877,0.14424617056762126,0.5572550326254998
-0.006409810160655088,0.0,0.00703592571524049,0.0075096891430915524,0.012784200297566162,0.013063685009006828,0.03251495370029141,0.0353960773067413,0.05438675924121658,0.11034883583072519,0.1144701299980565,0.12795097254333263,0.13783636040696617,0.5508452224648448
-0.013445735875895579,-0.00703592571524049,0.0,0.0004737634278510622,0.0057482745823256715,0.006027759293766338,0.025479027985050917,0.028360151591500807,0.04735083352597609,0.1033129101154847,0.10743420428281601,0.12091504682809213,0.1308004346917257,0.5438092967496042
-0.01391949930374664,-0.0075096891430915524,-0.0004737634278510622,0.0,0.005274511154474609,0.005553995865915276,0.025005264557199855,0.027886388163649745,0.04687707009812503,0.10283914668763364,0.10696044085496495,0.12044128340024107,0.13032667126387462,0.5433355333217532
-0.01919401045822125,-0.012784200297566162,-0.0057482745823256715,-0.005274511154474609,0.0,0.0002794847114406668,0.019730753402725246,0.022611877009175135,0.04160255894365042,0.09756463553315903,0.10168592970049034,0.11516677224576646,0.1250521601094,0.5380610221672786
-0.019473495169661917,-0.013063685009006828,-0.006027759293766338,-0.005553995865915276,-0.0002794847114406668,0.0,0.01945126869128458,0.02233239229773447,0.04132307423220975,0.09728515082171836,0.10140644498904967,0.1148872875343258,0.12477267539795935,0.5377815374558379
-0.038924763860946496,-0.03251495370029141,-0.025479027985050917,-0.025005264557199855,-0.019730753402725246,-0.01945126869128458,0.0,0.0028811236064498896,0.021871805540925174,0.07783388213043378,0.0819551762977651,0.09543601884304122,0.10532140670667477,0.5183302687645533
-0.041805887467396385,-0.0353960773067413,-0.028360151591500807,-0.027886388163649745,-0.022611877009175135,-0.02233239229773447,-0.0028811236064498896,0.0,0.018990681934475284,0.07495275852398389,0.0790740526913152,0.09255489523659133,0.10244028310022488,0.5154491451581035
-0.06079656940187167,-0.05438675924121658,-0.04735083352597609,-0.04687707009812503,-0.04160255894365042,-0.04132307423220975,-0.021871805540925174,-0.018990681934475284,0.0,0.05596207658950861,0.06008337075683992,0.07356421330211604,0.08344960116574959,0.4964584632236282
-0.11675864599138028,-0.11034883583072519,-0.1033129101154847,-0.10283914668763364,-0.09756463553315903,-0.09728515082171836,-0.07783388213043378,-0.07495275852398389,-0.05596207658950861,0.0,0.004121294167331313,0.017602136712607436,0.027487524576240985,0.44049638663411955
-0.12087994015871159,-0.1144701299980565,-0.10743420428281601,-0.10696044085496495,-0.10168592970049034,-0.10140644498904967,-0.0819551762977651,-0.0790740526913152,-0.06008337075683992,-0.004121294167331313,0.0,0.013480842545276123,0.02336623040890967,0.43637509246678824
-0.1343607827039877,-0.12795097254333263,-0.12091504682809213,-0.12044128340024107,-0.11516677224576646,-0.1148872875343258,-0.09543601884304122,-0.09255489523659133,-0.07356421330211604,-0.017602136712607436,-0.013480842545276123,0.0,0.009885387863633549,0.42289424992151214
-0.14424617056762126,-0.13783636040696617,-0.1308004346917257,-0.13032667126387462,-0.1250521601094,-0.12477267539795935,-0.10532140670667477,-0.10244028310022488,-0.08344960116574959,-0.027487524576240985,-0.02336623040890967,-0.009885387863633549,0.0,0.41300886205787857
-0.5572550326254998,-0.5508452224648448,-0.5438092967496042,-0.5433355333217532,-0.5380610221672786,-0.5377815374558379,-0.5183302687645533,-0.5154491451581035,-0.4964584632236282,-0.44049638663411955,-0.43637509246678824,-0.42289424992151214,-0.41300886205787857,0.0
